
**********************************************
Contact: Natoms = 1.00000000000e+04, as = 1.000000e+02 * a0, G = 1.085900e+03, G * par = 2.171801e+03
Regular DDI: add = 6.700000e+01 * a0, GD = 1.736905e+02, GD * par = 3.473811e+02, edd = 6.700000e-01
     Dipolar cutoff Scut = 8.416910e+00,

QF = 1: h2 = 1.792281e+03,         q5 = 1.707112e+00

Trap parameters:
GAMMA = 1.000000e+00, NU = 1.000000e+00, LAMBDA = 4.361370e-02
Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 1.3151422150218750e-01, DY = 1.3151422150218750e-01, DZ = 2.2918125546406252e+00, mx = 1.00e+01, my = 1.00e+01, mz = 1.00e+01
      Unit of length: aho = 6.123800e-07 m

Time discretization: NITER = 1000000 (NSNAP = 1000000)
                     DT = 3.459198e-03, mt = 5.00e+00

file ./imag3d-finalpsi.bin
MUREL = 1.000000e-10, MUEND=1.000000e+03

-----------------------------------------------------------------------------------------------
Snap      mu           Kin             Pot            Contact            DDI            QF
-----------------------------------------------------------------------------------------------
103       2.0468038360154561e+00 3.5608425501438956e-01 9.4422714934055840e-01 1.9647921807202655e+00 -1.2182997490597571e+00 7.7992868197737375e-02
104       2.0468202207796118e+00 3.5610445527871742e-01 9.4418540157472031e-01 1.9649059169000642e+00 -1.2183755529738900e+00 7.7999849085477482e-02
105       2.0468367204068891e+00 3.5612431464892502e-01 9.4414381781835655e-01 1.9650205363630446e+00 -1.2184519484234371e+00 7.8006907720225518e-02
106       2.0468533308643844e+00 3.5614383073688022e-01 9.4410240612658292e-01 1.9651360099744324e+00 -1.2185289159735111e+00 7.8014041851723573e-02
107       2.0468700480037549e+00 3.5616300136106083e-01 9.4406117452234783e-01 1.9652523077238384e+00 -1.2186064356034918e+00 7.8021249160071596e-02
108       2.0468868675628444e+00 3.5618182454503144e-01 9.4402013099481485e-01 1.9653693987397387e+00 -1.2186844867167403e+00 7.8028527257657687e-02
109       2.0469037851675509e+00 3.5620029851572071e-01 9.4397928349778482e-01 1.9654872513049608e+00 -1.2187630481509155e+00 7.8035873691154597e-02
110       2.0469207963337732e+00 3.5621842170151252e-01 9.4393863994811056e-01 1.9656058328731374e+00 -1.2188420981889871e+00 7.8043285943581078e-02
111       2.0469378964694571e+00 3.5623619273013024e-01 9.4389820822409731e-01 1.9657251100860751e+00 -1.2189216145708455e+00 7.8050761436417898e-02
112       2.0469550808768657e+00 3.5625361042636022e-01 9.4385799616396682e-01 1.9658450487921042e+00 -1.2190015745055658e+00 7.8058297531780785e-02
